pseudobulk_row,representation,sample_id,accession,frozen_compartment,source_label,cell_count,library_size_umi,detected_genes
71,source_label,JB17006,GSM4029901,B_ASC_CONTROL,PC-caSC1,0,0,0
72,compartment,JB17007,GSM4029902,B_CONV_ANALOG,,386,998577,12832
73,compartment,JB17007,GSM4029902,B_ASC_CONTROL,,0,0,0
74,source_label,JB17007,GSM4029902,B_CONV_ANALOG,B-caSC0,170,435510,11102
75,source_label,JB17007,GSM4029902,B_CONV_ANALOG,B-caSC1,6,11197,2587
76,source_label,JB17007,GSM4029902,B_CONV_ANALOG,B-caSC2,43,131797,8369
77,source_label,JB17007,GSM4029902,B_CONV_ANALOG,B-caSC3,79,191197,9280
78,source_label,JB17007,GSM4029902,B_CONV_ANALOG,B-caSC4,5,7447,2174
79,source_label,JB17007,GSM4029902,B_CONV_ANALOG,B-caSC5,47,137084,8504
80,source_label,JB17007,GSM4029902,B_CONV_ANALOG,B-caSC6,25,59040,6324
81,source_label,JB17007,GSM4029902,B_CONV_ANALOG,B-caSC7,11,25305,4304
82,source_label,JB17007,GSM4029902,B_ASC_CONTROL,PC-caSC0,0,0,0
83,source_label,JB17007,GSM4029902,B_ASC_CONTROL,PC-caSC1,0,0,0
84,compartment,JB17008,GSM4029903,B_CONV_ANALOG,,536,1536767,13270
85,compartment,JB17008,GSM4029903,B_ASC_CONTROL,,1,8594,2233
86,source_label,JB17008,GSM4029903,B_CONV_ANALOG,B-caSC0,152,342210,10144
87,source_label,JB17008,GSM4029903,B_CONV_ANALOG,B-caSC1,11,26188,3936
88,source_label,JB17008,GSM4029903,B_CONV_ANALOG,B-caSC2,135,442928,10690
89,source_label,JB17008,GSM4029903,B_CONV_ANALOG,B-caSC3,38,85971,7033
90,source_label,JB17008,GSM4029903,B_CONV_ANALOG,B-caSC4,3,5170,1317
91,source_label,JB17008,GSM4029903,B_CONV_ANALOG,B-caSC5,176,589497,11298
92,source_label,JB17008,GSM4029903,B_CONV_ANALOG,B-caSC6,18,39174,4814
93,source_label,JB17008,GSM4029903,B_CONV_ANALOG,B-caSC7,3,5629,1433
94,source_label,JB17008,GSM4029903,B_ASC_CONTROL,PC-caSC0,1,8594,2233
95,source_label,JB17008,GSM4029903,B_ASC_CONTROL,PC-caSC1,0,0,0
96,compartment,JB17015,GSM4029904,B_CONV_ANALOG,,1355,4508126,14711
97,compartment,JB17015,GSM4029904,B_ASC_CONTROL,,10,83118,6809
98,source_label,JB17015,GSM4029904,B_CONV_ANALOG,B-caSC0,13,35540,4394
99,source_label,JB17015,GSM4029904,B_CONV_ANALOG,B-caSC1,678,2047788,13071
100,source_label,JB17015,GSM4029904,B_CONV_ANALOG,B-caSC2,567,2115935,13288
101,source_label,JB17015,GSM4029904,B_CONV_ANALOG,B-caSC3,2,12799,2793
102,source_label,JB17015,GSM4029904,B_CONV_ANALOG,B-caSC4,46,126469,7434
103,source_label,JB17015,GSM4029904,B_CONV_ANALOG,B-caSC5,43,155465,8204
104,source_label,JB17015,GSM4029904,B_CONV_ANALOG,B-caSC6,1,2078,703
105,source_label,JB17015,GSM4029904,B_CONV_ANALOG,B-caSC7,5,12052,2271
106,source_label,JB17015,GSM4029904,B_ASC_CONTROL,PC-caSC0,1,1979,776
107,source_label,JB17015,GSM4029904,B_ASC_CONTROL,PC-caSC1,9,81139,6743
108,compartment,JB17016,GSM4029905,B_CONV_ANALOG,,1604,4509045,15124
109,compartment,JB17016,GSM4029905,B_ASC_CONTROL,,76,540845,11042
110,source_label,JB17016,GSM4029905,B_CONV_ANALOG,B-caSC0,199,515852,10819
111,source_label,JB17016,GSM4029905,B_CONV_ANALOG,B-caSC1,13,42007,5039
112,source_label,JB17016,GSM4029905,B_CONV_ANALOG,B-caSC2,54,195779,8770
113,source_label,JB17016,GSM4029905,B_CONV_ANALOG,B-caSC3,968,2511875,13853
114,source_label,JB17016,GSM4029905,B_CONV_ANALOG,B-caSC4,1,5363,1251
115,source_label,JB17016,GSM4029905,B_CONV_ANALOG,B-caSC5,342,1163525,12558
116,source_label,JB17016,GSM4029905,B_CONV_ANALOG,B-caSC6,26,72571,6319
117,source_label,JB17016,GSM4029905,B_CONV_ANALOG,B-caSC7,1,2073,714
118,source_label,JB17016,GSM4029905,B_ASC_CONTROL,PC-caSC0,58,426421,10561
119,source_label,JB17016,GSM4029905,B_ASC_CONTROL,PC-caSC1,18,114424,7388
120,compartment,JB17014,GSM4029906,B_CONV_ANALOG,,616,1812163,13109
121,compartment,JB17014,GSM4029906,B_ASC_CONTROL,,2,7883,2133
122,source_label,JB17014,GSM4029906,B_CONV_ANALOG,B-caSC0,37,90432,6756
123,source_label,JB17014,GSM4029906,B_CONV_ANALOG,B-caSC1,223,619626,11002
124,source_label,JB17014,GSM4029906,B_CONV_ANALOG,B-caSC2,156,599501,11053
125,source_label,JB17014,GSM4029906,B_CONV_ANALOG,B-caSC3,6,15899,2861
126,source_label,JB17014,GSM4029906,B_CONV_ANALOG,B-caSC4,105,254711,9247
127,source_label,JB17014,GSM4029906,B_CONV_ANALOG,B-caSC5,26,80612,6489
128,source_label,JB17014,GSM4029906,B_CONV_ANALOG,B-caSC6,22,52566,5610
129,source_label,JB17014,GSM4029906,B_CONV_ANALOG,B-caSC7,41,98816,6952
130,source_label,JB17014,GSM4029906,B_ASC_CONTROL,PC-caSC0,0,0,0
131,source_label,JB17014,GSM4029906,B_ASC_CONTROL,PC-caSC1,2,7883,2133
132,compartment,JB17010,GSM4029907,B_CONV_ANALOG,,1761,4834285,14950
133,compartment,JB17010,GSM4029907,B_ASC_CONTROL,,15,99772,7357
134,source_label,JB17010,GSM4029907,B_CONV_ANALOG,B-caSC0,33,75118,6424
135,source_label,JB17010,GSM4029907,B_CONV_ANALOG,B-caSC1,1045,2637469,13758
136,source_label,JB17010,GSM4029907,B_CONV_ANALOG,B-caSC2,431,1487954,12820
137,source_label,JB17010,GSM4029907,B_CONV_ANALOG,B-caSC3,2,6238,1742
138,source_label,JB17010,GSM4029907,B_CONV_ANALOG,B-caSC4,146,342836,9954
139,source_label,JB17010,GSM4029907,B_CONV_ANALOG,B-caSC5,17,57780,5784
140,source_label,JB17010,GSM4029907,B_CONV_ANALOG,B-caSC6,15,39169,4722
141,source_label,JB17010,GSM4029907,B_CONV_ANALOG,B-caSC7,72,187721,8675
142,source_label,JB17010,GSM4029907,B_ASC_CONTROL,PC-caSC0,0,0,0
143,source_label,JB17010,GSM4029907,B_ASC_CONTROL,PC-caSC1,15,99772,7357
144,compartment,JB17019,GSM4029908,B_CONV_ANALOG,,106,505692,10703
145,compartment,JB17019,GSM4029908,B_ASC_CONTROL,,2,14318,3076
146,source_label,JB17019,GSM4029908,B_CONV_ANALOG,B-caSC0,50,204230,8495
147,source_label,JB17019,GSM4029908,B_CONV_ANALOG,B-caSC1,34,179950,8217
148,source_label,JB17019,GSM4029908,B_CONV_ANALOG,B-caSC2,7,48062,4863
149,source_label,JB17019,GSM4029908,B_CONV_ANALOG,B-caSC3,3,10745,2373
150,source_label,JB17019,GSM4029908,B_CONV_ANALOG,B-caSC4,3,15048,2683
151,source_label,JB17019,GSM4029908,B_CONV_ANALOG,B-caSC5,6,36096,4367
152,source_label,JB17019,GSM4029908,B_CONV_ANALOG,B-caSC6,1,4271,1169
153,source_label,JB17019,GSM4029908,B_CONV_ANALOG,B-caSC7,2,7290,1726
154,source_label,JB17019,GSM4029908,B_ASC_CONTROL,PC-caSC0,2,14318,3076
155,source_label,JB17019,GSM4029908,B_ASC_CONTROL,PC-caSC1,0,0,0
156,compartment,JB17020,GSM4029909,B_CONV_ANALOG,,558,2549546,14134
157,compartment,JB17020,GSM4029909,B_ASC_CONTROL,,62,665993,11624
158,source_label,JB17020,GSM4029909,B_CONV_ANALOG,B-caSC0,18,77185,6721
159,source_label,JB17020,GSM4029909,B_CONV_ANALOG,B-caSC1,314,1266059,12735
160,source_label,JB17020,GSM4029909,B_CONV_ANALOG,B-caSC2,176,1004075,12255
161,source_label,JB17020,GSM4029909,B_CONV_ANALOG,B-caSC3,0,0,0
162,source_label,JB17020,GSM4029909,B_CONV_ANALOG,B-caSC4,18,69432,6328
163,source_label,JB17020,GSM4029909,B_CONV_ANALOG,B-caSC5,15,67974,6239
164,source_label,JB17020,GSM4029909,B_CONV_ANALOG,B-caSC6,11,39911,5029
165,source_label,JB17020,GSM4029909,B_CONV_ANALOG,B-caSC7,6,24910,3891
166,source_label,JB17020,GSM4029909,B_ASC_CONTROL,PC-caSC0,1,2714,1066
167,source_label,JB17020,GSM4029909,B_ASC_CONTROL,PC-caSC1,61,663279,11607
168,compartment,JB17021,GSM4029910,B_CONV_ANALOG,,23,119150,7976
