sample_id,source_label,frozen_compartment,cell_count,library_size_umi
JB19006,B-caSC6,B_CONV_ANALOG,1,3252
JB19006,B-caSC7,B_CONV_ANALOG,0,0
JB19006,PC-caSC0,B_ASC_CONTROL,12,113018
JB19006,PC-caSC1,B_ASC_CONTROL,3,39222
JB19007,B-caSC0,B_CONV_ANALOG,19,57347
JB19007,B-caSC1,B_CONV_ANALOG,29,93576
JB19007,B-caSC2,B_CONV_ANALOG,161,691497
JB19007,B-caSC3,B_CONV_ANALOG,1,2357
JB19007,B-caSC4,B_CONV_ANALOG,20,53426
JB19007,B-caSC5,B_CONV_ANALOG,25,107851
JB19007,B-caSC6,B_CONV_ANALOG,11,34369
JB19007,B-caSC7,B_CONV_ANALOG,4,14426
JB19007,PC-caSC0,B_ASC_CONTROL,4,25129
JB19007,PC-caSC1,B_ASC_CONTROL,20,177999
JB19008,B-caSC0,B_CONV_ANALOG,17,57968
JB19008,B-caSC1,B_CONV_ANALOG,16,70296
JB19008,B-caSC2,B_CONV_ANALOG,11,42085
JB19008,B-caSC3,B_CONV_ANALOG,1,2987
JB19008,B-caSC4,B_CONV_ANALOG,16,51759
JB19008,B-caSC5,B_CONV_ANALOG,4,14115
JB19008,B-caSC6,B_CONV_ANALOG,11,33999
JB19008,B-caSC7,B_CONV_ANALOG,13,54227
JB19008,PC-caSC0,B_ASC_CONTROL,3,20740
JB19008,PC-caSC1,B_ASC_CONTROL,17,206810
JB19009,B-caSC0,B_CONV_ANALOG,82,203149
JB19009,B-caSC1,B_CONV_ANALOG,122,303192
JB19009,B-caSC2,B_CONV_ANALOG,193,799986
JB19009,B-caSC3,B_CONV_ANALOG,0,0
JB19009,B-caSC4,B_CONV_ANALOG,97,235947
JB19009,B-caSC5,B_CONV_ANALOG,26,100315
JB19009,B-caSC6,B_CONV_ANALOG,45,110881
JB19009,B-caSC7,B_CONV_ANALOG,15,44541
JB19009,PC-caSC0,B_ASC_CONTROL,1,3279
JB19009,PC-caSC1,B_ASC_CONTROL,10,90003
JB19010,B-caSC0,B_CONV_ANALOG,56,136311
JB19010,B-caSC1,B_CONV_ANALOG,90,234478
JB19010,B-caSC2,B_CONV_ANALOG,189,650372
JB19010,B-caSC3,B_CONV_ANALOG,1,2710
JB19010,B-caSC4,B_CONV_ANALOG,60,135550
JB19010,B-caSC5,B_CONV_ANALOG,29,95142
JB19010,B-caSC6,B_CONV_ANALOG,43,111391
JB19010,B-caSC7,B_CONV_ANALOG,22,57877
JB19010,PC-caSC0,B_ASC_CONTROL,0,0
JB19010,PC-caSC1,B_ASC_CONTROL,6,47409
JB19011,B-caSC0,B_CONV_ANALOG,95,203295
JB19011,B-caSC1,B_CONV_ANALOG,32,77647
JB19011,B-caSC2,B_CONV_ANALOG,133,409864
JB19011,B-caSC3,B_CONV_ANALOG,1,2028
JB19011,B-caSC4,B_CONV_ANALOG,57,117284
JB19011,B-caSC5,B_CONV_ANALOG,24,84316
JB19011,B-caSC6,B_CONV_ANALOG,52,115168
JB19011,B-caSC7,B_CONV_ANALOG,20,50176
JB19011,PC-caSC0,B_ASC_CONTROL,4,27072
JB19011,PC-caSC1,B_ASC_CONTROL,21,126054
JB19013,B-caSC0,B_CONV_ANALOG,56,175592
JB19013,B-caSC1,B_CONV_ANALOG,7,20223
JB19013,B-caSC2,B_CONV_ANALOG,16,80540
JB19013,B-caSC3,B_CONV_ANALOG,13,40330
JB19013,B-caSC4,B_CONV_ANALOG,5,14039
JB19013,B-caSC5,B_CONV_ANALOG,8,35233
JB19013,B-caSC6,B_CONV_ANALOG,17,54712
JB19013,B-caSC7,B_CONV_ANALOG,10,34376
JB19013,PC-caSC0,B_ASC_CONTROL,1,7217
JB19013,PC-caSC1,B_ASC_CONTROL,2,15326
JB19014,B-caSC0,B_CONV_ANALOG,3,9116
JB19014,B-caSC1,B_CONV_ANALOG,4,14419
JB19014,B-caSC2,B_CONV_ANALOG,8,32808
JB19014,B-caSC3,B_CONV_ANALOG,0,0
JB19014,B-caSC4,B_CONV_ANALOG,1,3012
JB19014,B-caSC5,B_CONV_ANALOG,2,8816
JB19014,B-caSC6,B_CONV_ANALOG,2,7316
JB19014,B-caSC7,B_CONV_ANALOG,1,3749
JB19014,PC-caSC0,B_ASC_CONTROL,1,7483
JB19014,PC-caSC1,B_ASC_CONTROL,2,17549
JB19015,B-caSC0,B_CONV_ANALOG,16,35257
JB19015,B-caSC1,B_CONV_ANALOG,48,145746
JB19015,B-caSC2,B_CONV_ANALOG,41,165152
JB19015,B-caSC3,B_CONV_ANALOG,0,0
JB19015,B-caSC4,B_CONV_ANALOG,10,25063
JB19015,B-caSC5,B_CONV_ANALOG,3,10753
JB19015,B-caSC6,B_CONV_ANALOG,5,14567
JB19015,B-caSC7,B_CONV_ANALOG,5,14358
JB19015,PC-caSC0,B_ASC_CONTROL,0,0
JB19015,PC-caSC1,B_ASC_CONTROL,1,12660
