library_uuid,n_counts_count,n_counts_min,n_counts_median,n_counts_mean,n_counts_max,n_counts_q01,n_counts_q05,n_counts_q95,n_counts_q99,n_genes_count,n_genes_min,n_genes_median,n_genes_mean,n_genes_max,n_genes_q01,n_genes_q05,n_genes_q95,n_genes_q99,pct_mito_count,pct_mito_min,pct_mito_median,pct_mito_mean,pct_mito_max,pct_mito_q01,pct_mito_q05,pct_mito_q95,pct_mito_q99,pct_ribo_count,pct_ribo_min,pct_ribo_median,pct_ribo_mean,pct_ribo_max,pct_ribo_q01,pct_ribo_q05,pct_ribo_q95,pct_ribo_q99,pct_hb_count,pct_hb_min,pct_hb_median,pct_hb_mean,pct_hb_max,pct_hb_q01,pct_hb_q05,pct_hb_q95,pct_hb_q99,pct_platelet_count,pct_platelet_min,pct_platelet_median,pct_platelet_mean,pct_platelet_max,pct_platelet_q01,pct_platelet_q05,pct_platelet_q95,pct_platelet_q99,pct_ig_count,pct_ig_min,pct_ig_median,pct_ig_mean,pct_ig_max,pct_ig_q01,pct_ig_q05,pct_ig_q95,pct_ig_q99,blineage_marker_counts_count,blineage_marker_counts_min,blineage_marker_counts_median,blineage_marker_counts_mean,blineage_marker_counts_max,blineage_marker_counts_q01,blineage_marker_counts_q05,blineage_marker_counts_q95,blineage_marker_counts_q99,n_blineage_markers_detected_count,n_blineage_markers_detected_min,n_blineage_markers_detected_median,n_blineage_markers_detected_mean,n_blineage_markers_detected_max,n_blineage_markers_detected_q01,n_blineage_markers_detected_q05,n_blineage_markers_detected_q95,n_blineage_markers_detected_q99
0103e306-959a-46b0-896d-d8b9dee40157,1741,1647.0,2957.0,3296.244112578978,20320.0,1746.8,1975.0,5497.0,9651.999999999978,1741,488,875.0,942.5956346927053,3535,600.8,670.0,1415.0,2214.5999999999976,1741,1.3829787234042554,3.8880248833592534,4.212721726763912,19.208911116162763,2.2582033078977006,2.6993865030674846,6.858006042296073,9.375699958706562,1741,17.026596953853147,47.724230254350736,47.22881587483478,60.04061371841155,33.026920739179985,38.94575230296827,53.64372469635627,56.11035919238807,1741,0.0,0.0,0.0004306356860132626,0.04420866489832007,0.0,0.0,0.0,0.023764284319565867,1741,0.0,0.0,0.009931637802808759,0.2185792349726776,0.0,0.0,0.04892367906066536,0.11181522547876273,1741,0.0,0.0,0.08331923894981931,4.873063683304647,0.0,0.0,0.4256712508185986,0.9128796302356607,1741,4.0,48.0,51.884549109707066,354.0,20.0,28.0,90.0,138.19999999999982,1741,3,7.0,7.127512923607123,10,4.400000000000002,5.0,9.0,9.0
048cb921-e15f-47a6-a9e3-ed512574e5d7,1653,1119.0,1819.0,1958.7199032062915,17705.0,1165.52,1258.6,3033.2,4073.88,1653,379,615.0,645.6352087114337,3256,433.52,476.0,901.3999999999999,1167.88,1653,0.7286995515695067,3.840924541128484,4.302703235042896,59.429682436811405,1.5494273568392098,2.0322495596377466,8.071859898993564,12.236363420624851,1653,7.323395981853532,46.37612505921364,45.87173742902019,58.25870646766169,31.83710704168412,36.23867280461624,53.496019472475766,56.48043812169995,1653,0.0,0.0,0.002871326517633258,0.09124087591240876,0.0,0.0,0.03452335371766565,0.06683527109268181,1653,0.0,0.0,0.031116517375753387,0.48283261802575106,0.0,0.0,0.14516252269152433,0.23439890277997574,1653,0.0,0.0,0.1392729922222877,44.202996355783505,0.0,0.0,0.5561324326488831,1.1963260851992565,1653,0.0,33.0,35.65396249243799,146.0,14.0,18.0,61.0,90.0,1653,0,6.0,6.432546884452511,10,4.0,4.0,8.0,9.0
0955850b-157b-4396-a3da-83b8bcbed172,1839,498.0,1515.0,1724.3017944535072,9833.0,800.38,1077.0,2857.3999999999996,6141.5199999999895,1839,255,536.0,583.415986949429,2414,354.9,421.9,876.3999999999996,1551.0599999999986,1839,0.4830917874396135,2.79831045406547,3.05342181885109,33.875,0.9289336052089893,1.3028646187987398,5.146182894468257,9.451763970128386,1839,6.363636363636363,45.39704848910752,44.42940409013801,59.87244220037204,21.476392386313137,33.11075387858475,53.44107447464014,56.63522997187633,1839,0.0,0.0,0.018919201530325273,0.3963011889035667,0.0,0.0,0.08742789609689783,0.1638406330315338,1839,0.0,0.0,0.01377742166710532,0.3492433061699651,0.0,0.0,0.0832504173669233,0.15921018212732535,1839,0.0,0.0,0.1813893899749498,24.70106985525488,0.0,0.0,0.661264920424403,1.6538153133880862,1839,1.0,34.0,37.35236541598695,194.0,6.379999999999999,19.0,65.0,108.23999999999978,1839,1,6.0,5.695486677542142,10,3.0,4.0,8.0,9.0
0be87f87-d01a-495e-9605-d89d36240908,1950,1458.0,2149.0,2387.348717948718,19215.0,1483.0,1562.45,3622.95,6582.659999999998,1950,459,683.0,738.1297435897436,3518,500.49,538.45,1053.7499999999998,1793.1699999999994,1950,0.9357454772301934,3.553745351667258,3.8376430573453195,36.37540453074433,1.3999733804418848,1.9384833002784523,6.569044168673714,10.044149608401,1950,13.009708737864077,47.060380531249024,46.418513842769016,59.9373321396598,28.407953000244063,37.18582187245623,53.66293335469747,55.65450331946463,1950,0.0,0.0,0.005216390470140847,0.1509813789632612,0.0,0.0,0.04787209664705128,0.0636744010671121,1950,0.0,0.0,0.014704847223271367,0.30949105914718017,0.0,0.0,0.08048038819247873,0.16071673463495606,1950,0.0,0.0,0.11242299332302426,11.935683364254793,0.0,0.0,0.4737070436031923,1.111226626526174,1950,1.0,38.0,40.74717948717949,279.0,16.0,22.0,68.0,100.52999999999997,1950,1,7.0,6.504102564102564,10,3.0,4.0,9.0,9.0
0c3a7808-800f-43b1-a57b-08c3b2bb9e5a,2322,1347.0,2157.0,2335.9875107665807,21066.0,1384.21,1482.0,3703.399999999998,4702.79,2322,399,693.0,726.6701119724376,3538,481.42,525.0,1015.9499999999998,1302.329999999999,2322,0.5369127516778524,3.485726384467637,4.003063156215854,16.168271667511405,1.400549422999491,1.906356057860226,7.821591243385432,11.062440603675032,2322,11.522633744855968,45.420998375912944,45.12909340763823,59.8731884057971,29.348408889474275,35.55998792318241,53.109025971062124,56.24693780528783,2322,0.0,0.0,0.004157229276150798,0.7496876301541024,0.0,0.0,0.04111772020322057,0.06424816069759685,2322,0.0,0.0,0.019715675308592962,0.3351206434316354,0.0,0.0,0.11199520347354218,0.17561381121240746,2322,0.0,0.0,0.09607019399671464,25.644002612292287,0.0,0.0,0.4122595194859743,1.0819673408090331,2322,8.0,44.0,47.286391042205,259.0,16.0,23.0,83.0,115.78999999999996,2322,3,7.0,6.734711455641688,10,4.0,5.0,9.0,9.0
0c7c125d-46d6-40ba-8088-31fb2b526a78,1302,972.0,2078.5,2211.7004608294933,7367.0,1233.11,1403.0,3331.95,4325.42,1302,387,648.0,674.5937019969278,2020,442.01,495.05,921.9000000000001,1124.97,1302,0.5303030303030303,3.329775581167458,3.698184583406139,17.322834645669293,1.6486245694397261,2.02370251080491,6.569497843769857,9.880133653682783,1302,14.292682926829269,47.75579216707811,47.33478380011551,61.45760336370007,33.42212294002004,39.211992889403106,54.40483445938102,56.29270945871224,1302,0.0,0.0,0.003285161391121569,0.164257555847569,0.0,0.0,0.037161105120476746,0.060378911617536495,1302,0.0,0.0,0.030940060364369974,0.2898550724637681,0.0,0.0,0.1313183268655237,0.187650398743114,1302,0.0,0.0,0.1416736953160566,26.0,0.0,0.0,0.546601988504466,1.1159214176356902,1302,4.0,40.0,42.5284178187404,190.0,17.0,23.0,69.0,95.0,1302,2,6.0,6.473118279569892,10,4.0,5.0,8.0,9.0
10cec51f-a79f-4907-8745-b45df64f6946,1396,452.0,639.0,751.3796561604585,9972.0,459.95,474.0,1238.75,2874.399999999997,1396,196,280.0,308.72707736389685,2148,208.0,225.0,463.0,889.7999999999993,1396,0.7407407407407407,3.997245179063361,4.181903791743083,17.673716012084594,1.5049163109790165,2.2110747179109635,6.666112576983365,9.090909090909092,1396,10.974519445686187,45.79619808256578,45.1697533618195,61.98019801980198,27.679185209608466,35.224476391355836,53.495468590812905,56.295168211258165,1396,0.0,0.0,0.04836478529664571,0.6289308176100629,0.0,0.0,0.2058673794068983,0.3369886075365525,1396,0.0,0.0,0.014738310506204604,0.6622516556291391,0.0,0.0,0.15015116875951165,0.21512358609132798,1396,0.0,0.0,0.17577527698724557,49.84354045596781,0.0,0.0,0.39006062088630333,1.24279238268654,1396,0.0,9.0,10.050859598853869,40.0,2.0,3.0,19.0,28.0,1396,0,4.0,3.6074498567335245,8,1.0,2.0,6.0,6.0499999999999545
1495b93b-a19f-4364-95a3-6d8ac531eac6,1527,511.0,1370.0,1528.2547478716438,8036.0,808.56,949.0,2518.7000000000007,3799.200000000001,1527,218,479.0,514.4885396201703,2121,331.26,371.0,763.1000000000001,1203.74,1527,0.3929273084479371,3.066164604626143,3.2783157751158094,25.258493353028065,1.0587517493584098,1.4936091535142957,5.731582841750922,8.811571661871064,1527,6.653620352250489,47.30041532071989,46.43658277905773,60.653950953678475,28.208242405004697,35.34209014467018,54.82137490803204,57.277135143137905,1527,0.0,0.0,0.006920991419426785,0.7092198581560284,0.0,0.0,0.06638382303275922,0.10294810031864539,1527,0.0,0.0,0.010721622282308258,0.4231311706629055,0.0,0.0,0.0835641215219907,0.14406524711452479,1527,0.0,0.0,0.0762157453553272,29.952021932830707,0.0,0.0,0.398877640845071,1.0300472824428228,1527,4.0,25.0,27.047151277013754,109.0,9.0,14.0,48.0,67.74000000000001,1527,1,6.0,5.503601833660773,10,3.0,3.0,8.0,8.0
15024b21-fb68-4bbe-92cf-0c9ab90f11a6,1922,1212.0,1763.0,2000.7112382934442,17906.0,1233.63,1287.05,3282.5999999999985,6241.029999999998,1922,410,602.0,656.5515088449532,3417,439.21,467.0,977.0,1555.6899999999996,1922,0.6,2.9811403472492204,3.3698564341139203,39.56496178718401,1.0489110837791247,1.5257502348607197,6.47540271584237,9.601008839054252,1922,8.869179600886918,46.29931429708463,45.57654418358426,63.07895897662109,27.540632162875358,34.64580302036896,54.00404337875636,56.70263513760162,1922,0.0,0.0,0.002499797207434014,0.5498821681068342,0.0,0.0,0.0,0.06719274119844636,1922,0.0,0.0,0.02782907203137906,0.39588281868566905,0.0,0.0,0.13164397077093468,0.2227578829151927,1922,0.0,0.042808250557276925,0.16828784904769792,28.20022927015667,0.0,0.0,0.5018142307711537,1.2782820705176294,1922,1.0,33.0,36.52913631633715,235.0,13.0,18.0,63.0,103.15999999999985,1922,1,6.0,6.4417273673257025,10,4.0,4.0,8.0,9.0
152e2bfd-e9ea-4d70-a999-6f37fb3fb96c,1729,915.0,2024.0,2295.373048004627,22321.0,1009.84,1214.0,4027.3999999999996,6613.960000000002,1729,332,724.0,786.1602082128398,3904,445.84000000000003,509.4,1254.5999999999985,1863.3200000000015,1729,0.3566333808844508,3.0717676626640604,3.4048050293974588,27.385570209464703,0.9510990247648924,1.390624722109494,6.437419768732286,9.56471185704331,1729,6.347962382445141,42.46885617214043,41.732114021852425,61.78637200736648,22.996238204166644,30.257866576698593,50.08336502082261,53.62521048313977,1729,0.0,0.05470459518599562,0.06370156542707235,0.70298769771529,0.0,0.0,0.1750394562428161,0.2601249921090841,1729,0.0,0.0,0.013881647931057003,0.26068821689259647,0.0,0.0,0.07557870551608378,0.15905765487616624,1729,0.0,0.0,0.06598377155001216,13.129140010190794,0.0,0.0,0.4422054504822518,0.9344450293557551,1729,3.0,36.0,41.364372469635626,228.0,12.280000000000001,18.0,85.59999999999991,131.0,1729,1,7.0,6.589358010410642,10,3.0,4.0,8.0,9.0
