sample_uuid,n_cells,log10_counts_median,log10_counts_mad,log10_counts_low_candidate,log10_counts_high_candidate,log10_genes_median,log10_genes_mad,log10_genes_low_candidate,log10_genes_high_candidate,pct_mito_median,pct_mito_mad,pct_mito_high_candidate,pct_hb_high_candidate,pct_platelet_high_candidate,blineage_markers_low_candidate,candidate_flagged_cells,candidate_flagged_fraction
00d8685c-548c-4e5f-b151-47d678b31cd6,539,3.2208922492195193,0.05892563285544439,2.958802819405074,3.4829816790339647,2.7573960287930244,0.04139268515822536,2.5732896437462696,2.941502413839779,2.8785982478097623,0.4960250687764063,5.0848185487134625,0.0,0.0,1.5522,163,0.30241187384044527
02404cf5-4210-43b8-b998-797422f7b1a8,462,3.2688119037397803,0.09417071107933195,2.849959415001128,3.6876643924784327,2.7315887651867388,0.06665883409053519,2.4351036029188564,3.028073927454621,2.973260451615814,0.5089899967154727,5.237146159006893,0.0,0.0,1.5522,122,0.26406926406926406
025b6b04-0e79-4c4b-bbb5-15042ca0474e,451,3.224014811372864,0.060257287390907965,2.9560024485155836,3.4920271742301443,2.785329835010767,0.04103685188809081,2.6028061251829167,2.9678535448386176,4.089219330855019,0.7937918593789588,7.619846763000751,0.0,0.0,2.5522,174,0.3858093126385809
0332dc59-e2c0-4b55-9921-3e0d0f565e5e,244,3.094471128641645,0.08212727895285843,2.7291854173151213,3.4597568399681684,2.67760599433249,0.05024013773975744,2.4541479096935968,2.901064078971383,4.305666539276656,0.7209754454021027,7.512421125336128,0.0,0.0,0.5522,123,0.5040983606557377
037d2b66-6091-42f8-b0ff-07c9130dea62,486,2.8438549769218455,0.08499789892298959,2.4658013220921724,3.2219086317515186,2.4646379202171627,0.054704796885868046,2.2213219246281986,2.7079539158061268,3.530815874021449,0.7922991484635322,7.054804026557548,0.0,0.0,0.0,161,0.33127572016460904
0426d045-1567-4897-8407-e7925395251c,343,3.4029488293444046,0.09609508065139583,2.975537129623126,3.830360529065683,2.851869600729766,0.07011422607729711,2.540015545983164,3.1637236554763684,3.5773026315789473,0.7493639603694073,6.910323654509997,0.0,0.0,1.5522,150,0.43731778425655976
09e143b6-bb61-40d5-99d8-bcf32ae0a20a,68,3.4039776595520017,0.09121618998219994,2.9982662897491728,3.8096890293548307,2.8692313231870767,0.04616722964760611,2.6638887191604543,3.074573927213699,5.254093304445291,0.6364060486065859,8.084700127437664,0.0,0.0,1.5522,20,0.29411764705882354
09fc2399-2a9e-47ec-a0f4-f0c83ee59b98,403,3.2355284469075487,0.07837400700126729,2.886936538567312,3.5841203552477854,2.7481880270062002,0.05321568301115498,2.511495312109185,2.9848807419032153,2.926829268292683,0.5214465937762824,5.246119428090832,0.0,0.0,1.5522,119,0.29528535980148884
0a1148dc-356f-4dc4-9c32-bf0823257d93,579,3.137354111370733,0.06595080476775017,2.8440181219247336,3.430690100816732,2.6693168805661123,0.04297651319106999,2.4781659451948714,2.860467815937353,3.2008830022075054,0.5846059567830308,5.80109337678707,0.0,0.0,0.5522,163,0.2815198618307427
0a4bb8a3-0abf-46eb-a33c-c14a23d44387,368,3.498996222194746,0.09583800711041324,3.07272793416905,3.925264510220442,2.973358738513478,0.06513705837822314,2.6836421302588174,3.263075346768139,4.184903353799801,0.7529261864381398,7.5337684458393595,0.0,0.0,2.5522,110,0.29891304347826086
