sample_uuid,n_bcells,library_uuid_n_unique,library_uuid,Processing_Cohort_n_unique,Processing_Cohort,multi_library_sample,multi_cohort_sample,interpretation
11e9756a-d4e3-4024-8167-81f1c9013e09,355,4,2e65a160-ba6e-4001-b942-c2aa46cd2c5b | 7a2abe44-abb7-4648-bb14-224625a6da0b | 7c76a618-92ba-41fd-b0a7-306a1c1a6bf2 | a5750809-7c9f-409f-baa1-9bfbb22d2fcc,1,3.0,True,False,expected technical multiplicity; not a biological conflict
13ec931d-a536-4679-ad6c-39d7bbaa8d5d,1167,12,0103e306-959a-46b0-896d-d8b9dee40157 | 0be87f87-d01a-495e-9605-d89d36240908 | 1556abac-8f1a-404a-8a2f-402ac562143c | 3044f2b9-48b5-45ec-ac14-107f0d7372f0 | 54530f14-aadf-4c2a-8f92-9c22a69cc022 | 665a3535-8f40-4ae3-9260-cbce7060781f | 9586e7f4-5c57-452e-bb13-90ceef874118 | b795713b-ff23-4494-b6a3-1438b2baee3e | d461010c-38fd-414f-91bd-e1b3e7e2f8fb | dac92812-557b-4abd-8fb0-4f823ae8ff59 | e3629615-6d5c-4167-808f-996d53989dbf | e7240495-f3e8-42a3-ac5c-4a9a7eebc341,2,1.0 | 2.0,True,True,expected technical multiplicity; not a biological conflict
145e48d0-e1f3-48cd-a198-d4c62e1f8ba0,100,4,1495b93b-a19f-4364-95a3-6d8ac531eac6 | 3332f018-936e-4c4c-9105-99d9503db5a3 | 70a004b7-4a17-4702-8910-4557aa0c4279 | cdab3145-edc9-4352-932c-1638e791bfc9,1,4.0,True,False,expected technical multiplicity; not a biological conflict
150f491b-4af3-4972-853f-5d39e7ea824a,198,4,0c7c125d-46d6-40ba-8088-31fb2b526a78 | 272dbb99-7929-46e2-8446-a19c21af05da | 6ab35eea-1bae-4ee8-8e5f-5f1505715ac3 | fc140c51-9b4f-427f-8e11-640bc7400007,1,2.0,True,False,expected technical multiplicity; not a biological conflict
168bc7ce-f2e2-46f4-8b35-43f4ddf39693,874,4,28401515-eca4-442a-85fc-f8c2793b1c26 | 9184b09f-ca66-4623-a733-1f64bc1b424f | d9bf3113-086e-4165-ba13-e78a3d7b4138 | e16d2c39-bfd1-4fb1-8ed6-ad6b16f3652e,1,2.0,True,False,expected technical multiplicity; not a biological conflict
18773af4-60a6-4a6a-9249-429ddf7f5a89,372,4,152e2bfd-e9ea-4d70-a999-6f37fb3fb96c | 30bbf8d6-bd6a-4b4f-8d3e-a54bf78f79d5 | b816335c-8d84-4ecc-aa3e-2dea51795320 | df159c28-05fb-4f35-83b8-8c14af793f2a,1,3.0,True,False,expected technical multiplicity; not a biological conflict
1990a6b9-ef47-4b7d-ac77-421031dec003,455,4,048cb921-e15f-47a6-a9e3-ed512574e5d7 | c64fa002-95f9-4429-b65c-6f55c7f907d4 | c7f79595-aa68-4139-9a87-094c761cc5ab | d641571e-6406-4309-ae61-acc6f2e0a50d,1,2.0,True,False,expected technical multiplicity; not a biological conflict
1d10643b-90b7-4d0c-ad8d-534e5bd1ae8a,1582,4,8321fef1-a067-4a62-a461-37e1f1b4f868 | 8627b3d4-c529-45b3-bf1e-0313791be91d | cfb525cf-987b-42c8-afca-8dd18f45b32d | d49aa545-2b96-409c-85e8-2bf8706475fb,1,2.0,True,False,expected technical multiplicity; not a biological conflict
1d38192e-5e0c-43e5-a813-835461e099ae,769,4,16552c24-ef48-4e1f-aff5-319a1f739299 | 43b9b939-e389-4784-b4e0-ee9d12aa7ca1 | 91761416-a756-48e5-8768-fd169c7c564c | d9942805-5a63-4958-b714-7088c0428c65,1,4.0,True,False,expected technical multiplicity; not a biological conflict
1f4f30c3-dbfc-4478-be7e-e047b7ad642a,617,4,15024b21-fb68-4bbe-92cf-0c9ab90f11a6 | 683bd537-4ff4-4741-afe5-be328f499d4b | 68492085-4a2b-4551-9b12-75062c694069 | bdc30514-427c-403e-a0ee-61e7d04e407e,1,2.0,True,False,expected technical multiplicity; not a biological conflict
1fccdc9f-3051-4556-bea4-57412a092eb8,196,4,15024b21-fb68-4bbe-92cf-0c9ab90f11a6 | 683bd537-4ff4-4741-afe5-be328f499d4b | 68492085-4a2b-4551-9b12-75062c694069 | bdc30514-427c-403e-a0ee-61e7d04e407e,1,2.0,True,False,expected technical multiplicity; not a biological conflict
20e15d59-e68c-4af0-873f-199998c6ee3b,309,4,2236c52d-924b-415a-aae0-00fa08d12d1f | 894c6ccb-cb7a-4ea1-b032-b1d93b25247d | 9850fb76-4155-4910-881f-b5d33ee0835c | f2380b81-e46f-430b-8fd2-e3897ddf7be9,1,2.0,True,False,expected technical multiplicity; not a biological conflict
2261aca1-82ee-4276-9eaa-1d61688bd2f8,339,4,1e3165e4-e0c0-4bf7-b803-7d8271b99fd5 | 60373b7d-7c45-428f-9622-aa4f854c4860 | d4d2da4e-6580-479c-b5f6-77b109e72715 | fb1e97d1-dd9c-4314-aae2-9c3745df1411,1,4.0,True,False,expected technical multiplicity; not a biological conflict
23373939-b15c-4982-bc28-48770bad82e2,297,4,0c7c125d-46d6-40ba-8088-31fb2b526a78 | 272dbb99-7929-46e2-8446-a19c21af05da | 6ab35eea-1bae-4ee8-8e5f-5f1505715ac3 | fc140c51-9b4f-427f-8e11-640bc7400007,1,2.0,True,False,expected technical multiplicity; not a biological conflict
2512ead7-e6f3-4ceb-9894-46e1e71eb8df,408,4,0c7c125d-46d6-40ba-8088-31fb2b526a78 | 272dbb99-7929-46e2-8446-a19c21af05da | 6ab35eea-1bae-4ee8-8e5f-5f1505715ac3 | fc140c51-9b4f-427f-8e11-640bc7400007,1,2.0,True,False,expected technical multiplicity; not a biological conflict
261c08e0-fa34-4086-950f-1d8425f2476b,235,4,16552c24-ef48-4e1f-aff5-319a1f739299 | 43b9b939-e389-4784-b4e0-ee9d12aa7ca1 | 91761416-a756-48e5-8768-fd169c7c564c | d9942805-5a63-4958-b714-7088c0428c65,1,4.0,True,False,expected technical multiplicity; not a biological conflict
2688f505-eb1a-4f9f-af54-e30b3da7dff3,1124,8,048cb921-e15f-47a6-a9e3-ed512574e5d7 | 16552c24-ef48-4e1f-aff5-319a1f739299 | 43b9b939-e389-4784-b4e0-ee9d12aa7ca1 | 91761416-a756-48e5-8768-fd169c7c564c | c64fa002-95f9-4429-b65c-6f55c7f907d4 | c7f79595-aa68-4139-9a87-094c761cc5ab | d641571e-6406-4309-ae61-acc6f2e0a50d | d9942805-5a63-4958-b714-7088c0428c65,2,2.0 | 4.0,True,True,expected technical multiplicity; not a biological conflict
27978e88-cfed-4b90-b622-fd572e5ea40d,925,4,3639058a-5dc3-49ad-82ff-cec405483912 | 56b848af-d12b-4f9c-b605-947e296caa46 | 8950207b-4940-4ef9-ad01-0ad0dace6f27 | b993ef60-52c8-41e2-83a2-bb44f1fb916f,1,1.0,True,False,expected technical multiplicity; not a biological conflict
279d06b2-a656-413d-8805-b07615ea48ee,514,4,39093cbf-e0a9-480d-ab0b-e9e4cf95a9f8 | 64f6fec6-18a3-4563-b731-189faf6423f2 | 6fd714df-b88d-43a6-8f75-3d300278329d | c2641f62-eb23-4dad-9c22-b52e72b79df2,1,4.0,True,False,expected technical multiplicity; not a biological conflict
