panel,analysis_name,program_id,program_label,analysis_family,publication_role,positive_available,positive_total,negative_available,negative_total,availability_pass,effect,se_hc3,ci_low,ci_high,statistic,df,p_value,q_value_primary4,order,label,color,dataset,ensembl_id,gse174188_symbol,gse174188_logFC,gse135779_symbol,gse135779_logFC,gene_symbol,is_frozen_ifn_gene,full_effect,loo_min_effect,loo_max_effect,loo_max_absolute_delta,loo_sign_concordance,loo_any_sign_flip,most_influential_sample_id,omitted_source_label,minimum_cells_after_omission
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000063244,U2AF2,-0.0787741327085952,U2AF2,-0.0618536594229106,U2AF2,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000166770,ZNF667-AS1,0.176701879284577,ZNF667-AS1,-0.275907695110755,ZNF667-AS1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000256060,TRAPPC2B,0.0274124229569896,TRAPPC2P1,-0.114343873132346,TRAPPC2B,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000121413,ZSCAN18,0.0864685898168563,ZSCAN18,-0.113287856071332,ZSCAN18,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000171606,ZNF274,0.0988217803643767,ZNF274,-0.156585937164483,ZNF274,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000267216,ZNF8-ERVK3-1,0.24284069551575,AC010642.1,0.00177048774533856,ZNF8-ERVK3-1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000121410,A1BG,-0.239607629407821,A1BG,-0.0053979085293499,A1BG,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000083845,RPS5,-0.13589286785104,RPS5,-0.256350871474184,RPS5,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000130724,CHMP2A,0.078169314800012,CHMP2A,0.0970570713700871,CHMP2A,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000267858,MZF1-AS1,0.126580449974909,AC016629.8,0.114469328280569,MZF1-AS1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000131100,ATP6V1E1,0.238531026400954,ATP6V1E1,-0.0855428138785212,ATP6V1E1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000099968,BCL2L13,0.0510218854865215,BCL2L13,0.192660249731109,BCL2L13,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000015475,BID,0.105840944960539,BID,0.244769877816927,BID,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000243156,MICAL3,-0.0360010454423859,MICAL3,-0.0313327770025519,MICAL3,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000184979,USP18,2.2268327283619,USP18,3.63558695712442,USP18,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000242259,C22ORF39,-0.0900473281640573,C22ORF39,0.243575812320781,C22ORF39,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000185608,MRPL40,0.0705210659912128,MRPL40,0.127318233110854,MRPL40,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000070010,UFD1,0.0350022159045158,UFD1L,-0.0776770928141862,UFD1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000093010,COMT,0.278234103861451,COMT,0.245878157364167,COMT,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000099901,RANBP1,0.0804641855839451,RANBP1,-0.0462212605922836,RANBP1,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000128185,DGCR6L,-0.0243647091011848,DGCR6L,0.042689063384721,DGCR6L,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000099940,SNAP29,0.380121999271806,SNAP29,0.206995490321847,SNAP29,False,,,,,,,,,
c,,,,,,,,,,,,,,,,,,,,,,,ENSG00000184436,THAP7,-0.155782405352007,THAP7,-0.0603634374942158,THAP7,False,,,,,,,,,
